livre	chapitre	verset	fr	ewe
2CH	6	3	Le roi tourna son visage, et bénit toute l’assemblée d’Israël; et toute l’assemblée d’Israël était debout.	Israel-viwo kata kpo, alesi dzo la di de anyi kple Ye- howa fe nutikokoe le ho la dzi, tete wobobo hede ta agu de kpe- nyigba la dzi, eye wodo gbe da heda akpe na Yehowa, elabena ¿efe dome nyo, eye efe amenu- veve li tegbē
2CH	35	14	Ensuite ils préparèrent ce qui était pour eux et pour les sacrificateurs, car les sacrificateurs, fils d’Aaron, furent occupés jusqu’à la nuit à offrir les holocaustes et les graisses; c’est pourquoi les Lévites préparèrent pour eux et pour les sacrificateurs, fils d’Aaron.	Emegbe wowoe na woawo nuto dokui kple nunolawo; elabena nunolawo, si- wo nye Aron viwo, le dzo tom numevosa kple amiawo, vasede esime zà do. Eyata Lewi-viwo woe na woawo nuto dokui kple nunolawo, siwo nye Aron viwo ha
2CH	3	9	et le poids de l’or pour les clous montait à cinquante sicles. Il couvrit aussi d’or les chambres hautes.	Gatagbadzeawo fe kpe- kpeme le sika sekel blaato, eye wofa sika de ho etametowo me
2CH	28	25	et il établit des hauts lieux dans chacune des villes de Juda pour offrir des parfums à d’autres dieux. Il irrita ainsi l’Éternel, le Dieu de ses pères.	Ewo nuhefewo de Yuda-duwo kata me, ne woado dzudzo na du bubu me towo fe mawuwo, eye wódo dziku na Yehowa, fofoa- wo fe Mawu la
2CH	36	14	Tous les chefs des sacrificateurs et le peuple multiplièrent aussi les transgressions, selon toutes les abominations des nations; et ils profanèrent la maison de l’Éternel, qu’il avait sanctifiée à Jérusalem.	Eye nunolawo fe amegáwo kata hà kple duko la wo nu tovo gede le dukowo fe ihunyonuwo kata nu, eye wodo gu Yehowa fe afe, si nu woko le Yerusalem
2CH	13	14	Ceux de Juda s’étant retournés eurent à combattre devant et derrière. Ils crièrent à l’Éternel, et les sacrificateurs sonnèrent des trompettes.	Eye esi Yuda tro la, kpo da, wo- dze awa de enu le ngo kple me- gbe siā. Tete wodo gli yo Yeho- wa, nunolawo le kp&awo kum, 15 eye Yuda-nutsuwo le awagli dom. Esi Yuda-nutsuwo le awagli dom la, Mawu si Yerobeam kple Israel blibo la le Abiya kple Yuda ngo
2CH	30	2	Le roi, ses chefs, et toute l’assemblée avaient tenu conseil à Jérusalem, afin que la Pâque fût célébrée au second mois;	Fia la kple efe amegawo kpakple ameha blibo la do be, woadu nutitotonkekenyuie la le dzinu ? evelia. me
2CH	33	8	Je ne ferai plus sortir Israël du pays que j’ai destiné à vos pères, pourvu seulement qu’ils aient soin de mettre en pratique tout ce que je leur ai commandé, selon toute la loi, les préceptes et les ordonnances prescrits par Moïse.	Nye- mana Israel fe afo nate da le anyi- gba, si mena wo fofowo la dzi azo o, nenye be, wo1é nye sewo, dodowo kple konuwo, siwo Kaia mena wo to Mose dzi la, me de asi, eye wowo wo dzi ko
2CH	1	8	Salomon répondit à Dieu: Tu as traité David, mon père, avec une grande bienveillance, et tu m’as fait régner à sa place.	Salomo do nu na Mawu bena: Eve fofonye Dawid nu nuto, eye nétsom do fia de etefe
2CH	29	20	Le roi Ézéchias se leva de bon matin, assembla les chefs de la ville, et monta à la maison de l’Éternel.	Tete fia Hizkiya fo ndi kanya, eye wófo dumegáwo nu fu heyi Yehowa fe afe la me
2CH	29	16	Les sacrificateurs entrèrent dans l’intérieur de la maison de l’Éternel pour la purifier; ils sortirent toutes les impuretés qu’ils trouvèrent dans le temple de l’Éternel et les mirent dans le parvis de la maison de l’Éternel, où les Lévites les reçurent pour les emporter dehors au torrent de Cédron.	Eye nuno- lawo ge de Yehowa fe ho la me, be yewoako enu, eye wode nu ma- komako, siwo katà wokpo le Ye- howa fe gbedoho me la, do goe va Yehowa fe afe la fe hohonu, eye Lewi-viwo ho wo hetso yi Kidron-towu la nu
2CH	20	32	Il marcha dans la voie de son père Asa, et ne s’en détourna point, faisant ce qui est droit aux yeux de l’Éternel.	Eto fo- foa Asa fe we me, eye megbe nusi dze Yehowa nu la wowo o
2CH	11	15	Jéroboam établit des sacrificateurs pour les hauts lieux, pour les boucs, et pour les veaux qu’il avait faits.	Ke eya nuto do nunolawo na nuhefewo kple azi- mawo kpakple nyivi, siwo wówo
2CH	12	10	Le roi Roboam fit à leur place des boucliers d’airain, et il les remit aux soins des chefs des coureurs, qui gardaient l’entrée de la maison du roi.	Eye fia Rehabeam wo akoblikpohonuwo de wo tefe, eye wòtso wo defianuasrafo, siwo dzoa fia fe afe monu la, fe amepa- wo si
2CH	10	5	Il leur dit: Revenez vers moi dans trois jours. Et le peuple s’en alla.	Edo nu na wo bena: Miva gbonye le nkeke eto megbe! Eye duko la dzo
2CH	17	10	La terreur de l’Éternel s’empara de tous les royaumes des pays qui environnaient Juda, et ils ne firent point la guerre à Josaphat.	Tete Yehowa fe nodzi dze anyigba dzi fiadufe, siwo katá fo Wa Yuda godo 1a dzi, ale be wo- mewo awaa deke kple Yosafat o
2CH	9	19	et douze lions sur les six degrés de part et d’autre. Il ne s’est rien fait de pareil pour aucun royaume.	Dzata wuieve le tsitre de atrakpuifoflo adeawo fe ahawo kple eve dzi le afii kple afii; womewo esia togbee le fia- dufea deke me kpo o
2CH	32	32	Le reste des actions d’Ézéchias, et ses œuvres de piété, cela est écrit dans la vision du prophète Ésaïe, fils d’Amots, dans le livre des rois de Juda et d’Israël.	Hizkiya nutinya susoeawo kple efe nu dzodzoe wowowo la, kpo da, wonlo wo de nyagblo- dila Yesaya, Amoz vi, fe nutega- kpokpowo me de Yuda-fiawo kple Israel-fiawo fe agbalé me
2CH	10	2	Lorsque Jéroboam, fils de Nebath, eut des nouvelles, il était en Égypte, où il s’était enfui loin du roi Salomon, et il revint d’Égypte.	Esi- me Yerobeam, Nebat vi la, see la, elabena ele Egipte, afisi wòsi le fia Salomo nu yi Yero- beam tro gbọ tso Egipte
2CH	1	6	Et ce fut là, sur l’autel d’airain qui était devant la tente d’assignation, que Salomon offrit à l’Éternel mille holocaustes.	Eye doa gbo la dzi. Salomo fe gbedododa, efe nunya kple kesinonuwo
2CH	9	26	Il dominait sur tous les rois, depuis le fleuve jusqu’au pays des Philistins et jusqu’à la frontière d’Égypte.	Edu fia de fiawo katà dzi tso tosisi la nu vasede Filistitowo fe anyigba dzi kple Egipte-lifowo nu
2CH	12	6	Les chefs d’Israël et le roi s’humilièrent et dirent: L’Éternel est juste!	Tete Israel-amegáwo kple fia la wobobo wo dokui gblo bena: Yehowa to dzo!
2CH	33	5	Il bâtit des autels à toute l’armée des cieux dans les deux parvis de la maison de l’Éternel.	Edi vosamlekpuiwo de Ye- howa fe afe fe hohonuawo kple eve
2CH	6	20	Que tes yeux soient jour et nuit ouverts sur cette maison, sur le lieu dont tu as dit que là serait ton nom! Écoute la prière que ton serviteur fait en ce lieu.	Ne wo nkuwo nano wuwu de ho sia nu za kple keli, de tefe, si ñu ? né- gblo le be, yeatso yefe nko ado la nu, eye nase gbe, si wó dola ado da le tefe sia
2CH	7	21	Et si haut placée qu’ait été cette maison, quiconque passera près d’elle sera dans l’étonnement, et dira: Pourquoi l’Éternel a-t-il ainsi traité ce pays et cette maison?	Eye ne amesiame va to ho sia, si nko nyo 15a la, nui yina la, efe nu aku, eye wóabia bena: Nukata Yehowa wo anyigba sia kple ho sia do alea?
2CH	4	10	Il plaça la mer du côté droit, au sud-est.	Eye wótso gazo la do dusi me kpa dzi le gedzefe gome wà de dziehe
2CH	32	33	Ézéchias se coucha avec ses pères, et on l’enterra dans le lieu le plus élevé des sépulcres des fils de David; tout Juda et les habitants de Jérusalem lui rendirent honneur à sa mort. Et Manassé, son fils, régna à sa place.	Eye Hizkiya mlo fofoawo gbo, eye wo- dii de to dzi mo, si yi Dawid viwo fe yodowo gbo la to. Yuda blibo la kple Yerusalemtowo de bubu enu le efe ku me, eye via Ma- nase zu fia de etefe
2CH	15	10	Ils s’assemblèrent à Jérusalem le troisième mois de la quinzième année du règne d’Asa.	Eye wova kpe ta de Yerusalem le Asa fe dzidudu fe fe wuiatõlia me le dzi- nu etolia dzi
2CH	4	6	Il fit dix bassins, et il en plaça cinq à droite et cinq à gauche, pour qu’ils servissent aux purifications: on y lavait les diverses parties des holocaustes. La mer était destinée aux ablutions des sacrificateurs.	Eye wówo gagba ewo; etso wo ame aib do dusi me, eye wótso wo ame ató do mià me, esiwo me woaklo nuwo do; woawo me woakpala nume- vosa fe làwo do; ke gazo la li, bena nunolawo nale tsi de eme
2CH	12	9	Schischak, roi d’Égypte, monta contre Jérusalem. Il prit les trésors de la maison de l’Éternel et les trésors de la maison du roi, il prit tout. Il prit les boucliers d’or que Salomon avait faits.	Tete Egipte- -fia Sisak ho de Yerusalem nu, eye wólo Yehowa fe afe me kesinonuwo kple fia fe afe me ke- sinonuwo; nuawo kata wólo hekpe de sikakpohonu, siwo Salomo wo la ñuti
2CH	18	33	Alors un homme tira de son arc au hasard, et frappa le roi d’Israël au défaut de la cuirasse. Le roi dit à celui qui dirigeait son char: Tourne, et fais-moi sortir du champ de bataille, car je suis blessé.	Ke nutsua de vu efe da me heda de ya me, eye wote Israel-fia le gawua kpefe. Tete wogblo na efe tasiadamkplola bena: Tro, ne na- kplom dzo le awa la nu, elabena meho abi!
2CH	16	7	Dans ce temps-là, Hanani, le voyant, alla auprès d’Asa, roi de Juda, et lui dit: Parce que tu t’es appuyé sur le roi de Syrie et que tu ne t’es pas appuyé sur l’Éternel, ton Dieu, l’armée du roi de Syrie s’est échappée de tes mains.	Tete nukpola Hanani va Yuda- fia Asa gbo gemagi gblo ne be- na: Esi néde me Aram-fia, eye méde me Yehowa, wo Mawu o la, eyata Aram-fia fe awako ge le asi- wò me
2CH	15	12	Ils prirent l’engagement de chercher l’Éternel, le Dieu de leurs pères, de tout leur cœur et de toute leur âme;	Eye woge de nubabla me, be yewoadi Yehowa, yewo fofowo fe Mawu Ja, tso dzi 'blibo kple luwo a Yos. 24, 25. d kp. 16-18 kpo Fia.I.15,13-15. e . f .14. g Lu. 21, 10. h kp.1 8 kpo Fia. I. 15, 16 y. 22. i Kor. I. 15,58. blibo me
2CH	23	3	Toute l’assemblée traita alliance avec le roi dans la maison de Dieu. Et Jehojada leur dit: Voici, le fils du roi régnera, comme l’Éternel l’a déclaré à l’égard des fils de David.	Eye ameha blibo Nunola Yoyada si ami na Yoas. a Fia. L. 19, 16; Fia. II. 9, 6. b Fla. II. 10, 12 v. M. d Fia. II. 9, 27 v. 29. e kp. 10-12 Fia. II. 11, 1-3. o f kpo Fia. II. la bla nu kple fia la le mawufe me; eye wógblo na wo bena: Kpo da, fiavie adu fia, abe alesi Yeho- wa gblo de Dawid viwo nu ene
2CH	21	17	Ils montèrent contre Juda, y firent une invasion, pillèrent toutes les richesses qui se trouvaient dans la maison du roi, et emmenèrent ses fils et ses femmes, de sorte qu’il ne lui resta d’autre fils que Joachaz, le plus jeune de ses fils.	Eye woho va dze Yuda dzi helo kesinonu, siwo katà wokpo le fia fe me la dzoe; wokplo via- wo kple srüwo hà dzoe, eye vi- ñutsua deke mekpoto ne o, negbe viawo fe domloea Yoahaz ko
2CH	36	11	Sédécias avait vingt et un ans lorsqu’il devint roi, et il régna onze ans à Jérusalem.	Zedekiya ho {e blave vo eve, esime wòzu fia, eye wòdu fia fe wuideke le Yerusalem./ 12 Ewo nusi nye yb le Yehowa, efe Mawu la nku me, eye mebobo edokui na nyagblodila Yeremya, amesi do Yehowa fe numegbe la o
2CH	33	20	Manassé se coucha avec ses pères, et on l’enterra dans sa maison. Et Amon, son fils, régna à sa place.	Eye Manase mlo fo- foawo gbo, eye wodii de efe ho me, eye via Amon zu fia de etefe. Wowu fia Amon, si subo tro
2CH	35	11	Ils immolèrent la Pâque; les sacrificateurs répandirent le sang qu’ils recevaient de la main des Lévites, et les Lévites dépouillèrent les victimes.	Wowu nutitotonkeke- nyuie fe làwo, eye nunolawo hlé wu la tso wo si me, eye Lewi- viwo ko agbalē le wo nu
2CH	24	2	Joas fit ce qui est droit aux yeux de l’Éternel pendant toute la vie du sacrificateur Jehojada.	Eye Yoas wo nusi dze Yehowa nu le nunola Yoyada fe agbenogi kata
2CH	28	19	Car l’Éternel humilia Juda, à cause d’Achaz, roi d’Israël, qui avait jeté le désordre dans Juda et commis des péchés contre l’Éternel.	Elabena Yehowa bobo Yuda de anyi le Yuda fia Ahaz ta, ela- bena ena Yuda dze ha, eye medi anukware na Yehowa o
2CH	34	7	il renversa les autels, il mit en pièces les idoles et les images taillées et les réduisit en poussière, et il abattit toutes les statues consacrées au soleil dans tout le pays d’Israël. Puis il retourna à Jérusalem.	Eye esi wómu wofe vosamlekpuiwo kple Aserawo, gbá legbawo hetu wo, eye wogba gelegbawo kata le Is- 34, 8 30 rael-nyigba blibo la dzi la, egbu- gbo va Yerusalem. Yosiya dzra gbedoho do
2CH	32	15	Qu’Ézéchias ne vous séduise donc point et qu’il ne vous abuse point ainsi; ne vous fiez pas à lui! Car aucun dieu d’aucune nation ni d’aucun royaume n’a pu délivrer son peuple de ma main et de la main de mes pères: combien moins votre Dieu vous délivrera-t-il de ma main?	Eyata Hizkiya megable mi, eye wòaga- no mia flum alea o, eye migaho edzi ve o, elabena duko kple fia- dufea deke fe mawua deke mete nu de efe duko tso mia kple fo- fonyewo si me o, Wú Keke ne miafe mawuwo nahayi mia de ge tso asinye me o
2CH	12	14	Il fit le mal, parce qu’il n’appliqua pas son cœur à chercher l’Éternel.	Eye wówo nusi nye v6, elabena metso efe dzi do Ye- howa didi nu o
2CH	34	23	elle leur répondit: Ainsi parle l’Éternel, le Dieu d’Israël: Dites à l’homme qui vous a envoyés vers moi:	Edo nu na wo bena: Ale Yehowa, Israel fe Mawu la, gblo esi: Mida- gblo na nutsu, si do mi de gbonye la bena
2CH	1	10	Accorde-moi donc de la sagesse et de l’intelligence, afin que je sache me conduire à la tête de ce peuple! Car qui pourrait juger ton peuple, ce peuple si grand?	Eyata na nunya kple sidzedzem, ne mate iu ado adze duko sia ngo, eye magagbo, elabena ameka ate nu adu fia de duko gà sia dzi?
2CH	28	26	Le reste de ses actions et toutes ses voies, les premières et les dernières, cela est écrit dans le livre des rois de Juda et d’Israël.	Enutinya su- soeawo kple efe nuwowowo ka- tà, tsátowo kple megbetowo la, wonlo wo de Yuda-fiawo kple Israel-fiawo fe agbalé me
2CH	34	17	ils ont amassé l’argent qui se trouvait dans la maison de l’Éternel, et l’ont remis entre les mains des inspecteurs et des ouvriers.	Wotro ga, si wo- Kpo le Yehowa-fe me la, hetso na donunolawo kple dowolawo
2CH	36	5	Jojakim avait vingt-cinq ans lorsqu’il devint roi, et il régna onze ans à Jérusalem. Il fit ce qui est mal aux yeux de l’Éternel, son Dieu.	Yoyakim ho fe blave vo ato, esime wozu fia, eye wò- du fia fe wuideke le Yerusalem; eye wówo nusi nye yb le Yeho- wa, efe Mawu la, üku me
2CH	23	8	Les Lévites et tout Juda exécutèrent tous les ordres qu’avait donnés le sacrificateur Jehojada. Ils prirent chacun leurs gens, ceux qui entraient en service et ceux qui sortaient de service le jour du sabbat; car le sacrificateur Jehojada n’avait exempté aucune des divisions.	Eye Lewi-viwo kple Yuda blibo la wo, abe alesi nunola Yoyada de se pepépe ene, eye amesiame kplo efe amewo, ame- siwo do do me le dzudzogbe dzi kple amesiwo do le do me le dzu- dzogbe dzi sia, elabena nunola Yoyada mede asi le amehawo nu o
2CH	17	18	et à ses côtés, Zozabad, avec cent quatre-vingt mille hommes armés pour la guerre.	¿Ale *kesinonu kple bubu su = Yosafatsitan,eye wózuAhab fe to
2CH	35	24	Ses serviteurs l’emportèrent du char, le mirent dans un second char qui était à lui, et l’amenèrent à Jérusalem. Il mourut, et fut enterré dans le sépulcre de ses pères. Tout Juda et Jérusalem pleurèrent Josias.	Eye efe dolawo dee le tasiadam la me hetso de efe ta- siadam evelia me, eye wokploe va Yerusalem. Eye wóku, eye wodii de fofoawo dife, eye Yuda blibo la kple Yerusalem fa na Yo- siya
2CH	7	5	Le roi Salomon immola vingt-deux mille bœufs et cent vingt mille brebis. Ainsi le roi et tout le peuple firent la dédicace de la maison de Dieu.	Fia Salomo tso nyi akpe blave vo eve kple alé akpe alafa de- ka blave sa voe. Ale fia la kple duko blibo la ko Mau £e ho 1a nu enye si
2CH	34	26	Mais vous direz au roi de Juda qui vous a envoyés pour consulter l’Éternel: Ainsi parle l’Éternel, le Dieu d’Israël, au sujet des paroles que tu as entendues:	Migblo na Yuda-fia, si do mi da, be miadabia nu Yehowa ase la bena: Ale Yehowa, Israel fe Mawu la, gblo esi: nya, siwo nëse, 27 na wó dzi bobo bolobolo, eye bnëbobo dokuiwó de anyi le Ma- wu nku me, le esi nése nya, siwo wogblo de nofe sia kple eme no- lawo ñuti megbe la; esi nébobo dokuiwó de anyi le ñkunye me, eye nédze wà awu hefa avi le nku- nye me la, eyata Yehowa be, ye ha yesee
2CH	5	10	Il n’y avait dans l’arche que les deux tables que Moïse y plaça en Horeb, lorsque l’Éternel fit alliance avec les enfants d’Israël, à leur sortie d’Égypte.	Naneke mele adaka Ja me o, negbe kpe eve, siwo Mose tso de eme le Horeb-to la gbo, esime Yehowa bla nu kple Israel- viwo, le esime wowu tso Egipte la koe
2CH	27	3	Jotham bâtit la porte supérieure de la maison de l’Éternel, et il fit beaucoup de constructions sur les murs de la colline.	Ede dzigbegbo de Yehowa fe afe la nu, eye wódo Ofel-gli la yi edzi nuto
2CH	8	5	Il bâtit Beth-Horon la haute et Beth-Horon la basse, villes fortes, ayant des murs, des portes et des barres;	Etso Dzigbe- Bet-Horon kple Anyigbe-Bet-Ho- ron wonye du sesëwo, siwo ñu wodo gli do, eye agbo kple ga- meti le wo nu
2CH	31	8	Ézéchias et les chefs vinrent voir les tas, et ils bénirent l’Éternel et son peuple d’Israël.	Esi Hizkiya kple amegáwo kpo nu fofuawo la, wokafu Yehowa kple efe duko Israel
2CH	18	8	Alors le roi d’Israël appela un eunuque, et dit: Fais venir tout de suite Michée, fils de Jimla.	Tete Israel-fia yo afedzikpola deka gblo bena: Yi dayo Miha, Yimla vi ve fififi!
2CH	18	28	Le roi d’Israël et Josaphat, roi de Juda, montèrent à Ramoth en Galaad.	Tete Israel-fia kple Yuda-fia Yosafat woho yi Ramot-Gilead
2CH	6	16	Maintenant, Éternel, Dieu d’Israël, observe la promesse que tu as faite à David, mon père, en disant: Tu ne manqueras jamais devant moi d’un successeur assis sur le trône d’Israël, pourvu que tes fils prennent garde à leur voie et qu’ils marchent dans ma loi comme tu as marché en ma présence.	Azo Yehowa, Israel fe Mawu, lé nya, si *négblo na fofonye Dawid la me de asi, esi négblo be: Ne viwónutsuwo lé nku de wofe mowo nu, eye wozo le nye sewo nu, abe alesi nézo le nkunye me ene la, ekema wò amesiwo ano Israel-fiazikpui dzi la, nu matso o
2CH	33	9	Mais Manassé fut cause que Juda et les habitants de Jérusalem s’égarèrent et firent le mal plus que les nations que l’Éternel avait détruites devant les enfants d’Israël.	Ke Manase ble Yuda kple Yerusalem wowo nu vódi wu duko, siwo Ye- howa tsro da le Israel-viwo ngo
2CH	19	5	Il établit des juges dans toutes les villes fortes du pays de Juda, dans chaque ville.	Edo wo- nudrólawo Yuda-du seséwo kata me le anyigba la dzi, du sia du kple eto
2CH	20	5	Josaphat se présenta au milieu de l’assemblée de Juda et de Jérusalem, dans la maison de l’Éternel, devant le nouveau parvis.	Tete Yosa- fat va Yuda kple Yerusalem fe takpekpe la me le Yehowa fe me le kpo yeye la ngo 6 gblo bena: Yehowa, mía fofowo fe Mawu, de menye wóe nye Mawu le dzifo kple dzidula de dukowo fe fiadufe- wo kata dzi oa? *Asiwó me nusé kple kameseseé le, eye amea deke mate gu ano te de nuwó o
2CH	23	4	Voici ce que vous ferez. Le tiers qui parmi vous entre en service le jour du sabbat, sacrificateurs et Lévites, fera la garde des seuils,	Ale miawo enye si: Nunolawo kple Lewi-viwo, amesiwo le do me do ge le dzudzogbe dzi la, fe akpa etolia nadzo agbo la nu; 5 akpa etóliawo deka nano fia fe me, eye akpa etoliawo deka nano Yesod-gbo la nu, eye duko blibo la nano Yehowa fe afe la fe ho- honuwo
2CH	17	14	Voici leur dénombrement, selon les maisons de leurs pères. De Juda, chefs de milliers: Adna, le chef, avec trois cent mille vaillants hommes;	Wofe amesiwo wo- tia hlé la, wonye esi le wofe afe- kowo nu: Ame akpewo fe tato, siwo tso Yuda, wonye: Amegá Ad- na, nütsu kaléto akpe alata eto le enu; 15 amesi kpe de enu, enye amegà Yohanan, ame akpe alafa eve blanyi le enu; 16 eye amesi kpe de enu, enye Amasya, Zihri vi, amesi tso edokui na Yehowa fa, nutsu kaléto akpe alafa eve le enu
2CH	10	17	Les enfants d’Israël qui habitaient les villes de Juda furent les seuls sur qui régna Roboam.	Ke Re- habeam du fia de Israel-vi, siwo le Yuda-duwo me la dzi
2CH	12	13	Le roi Roboam s’affermit dans Jérusalem et régna. Il avait quarante et un ans lorsqu’il devint roi, et il régna dix-sept ans à Jérusalem, la ville que l’Éternel avait choisie sur toutes les tribus d’Israël pour y mettre son nom. Sa mère s’appelait Naama, l’Ammonite.	Ale fia Rehabeam li ke edo- kui, eye wódu fia le Yerusalem. Rehabeam ho fe blane vo deke, esime wozu fia, eye wodu fia fe d kpo Fi pia; 1.14, g kpo Fia.1.15, Mo. HI. 2,13; Mo. IV. 18, 19. i Fia. I. 12, 28. wuiadre 1e Yerusalem, du, si Ye- howa tia le Israel-toawo kata me, be woatso efe nko ado aima la me. Dadaa ñko nye Naama, Amoni- nyonu
2CH	5	7	Les sacrificateurs portèrent l’arche de l’alliance de l’Éternel à sa place, dans le sanctuaire de la maison, dans le lieu très saint, sous les ailes des chérubins.	Eye nunolawo ko Yehowa fe nubabladaka la dada de etefe le Kerubiwo fe awalawo te le ho la fe megbeho, si nye kokoefewo fe kokoefe la me
2CH	21	6	Il marcha dans la voie des rois d’Israël, comme avait fait la maison d’Achab, car il avait pour femme une fille d’Achab, et il fit ce qui est mal aux yeux de l’Éternel.	Eye wóto Israel-fiawo 16, 14. fe we me, abe alesi Ahab fe afe la wo ene, elabena ede Ahab fe vinyonu, eye wówo nusi nye và le Yehowa nku me
2CH	20	24	Lorsque Juda fut arrivé sur la hauteur d’où l’on aperçoit le désert, ils regardèrent du côté de la multitude, et voici, c’étaient des cadavres étendus à terre, et personne n’avait échappé.	Esi Yuda va toa tame le gbeadzi, eye wo- tro. de ameha la nu la, kpo da, ame kukuwo do baba de anyigba, eye amea deke mekpoto o
2CH	35	10	Le service s’organisa, et les sacrificateurs et les Lévites occupèrent leur place, selon leurs divisions, d’après l’ordre du roi.	Ale wodo subosubo lae; nunolawo tsi tre de wo nofe, eye Lewi-viwo li le wofe hawo nu, abe alesi fia la de se ene
2CH	1	7	Pendant la nuit, Dieu apparut à Salomon et lui dit: Demande ce que tu veux que je te donne.	> Eye Mawu de edokui fia Sa- lomo le zà ma me gblo ne bena: Bia nusi mana wó!
2CH	32	5	Ézéchias prit courage; il reconstruisit la muraille qui était en ruine et l’éleva jusqu’aux tours, bâtit un autre mur en dehors, fortifia Millo dans la cité de David, et prépara une quantité d’armes et de boucliers.	Eglà edokui, eye wò- do gli la fe gbagbáfewo kata do, etu ho tsralawo de wo dzi, eye wódo gli bubuwo de egodo, edo gli de Dawid-du la fe Milo nu, eye wówo aWawonuwo kple akpohonu- wo kpankpan;6edoawafiawo awa- ko la nu, eye wófo wo nu fu de edo- kui nu le ablo me le dugbo la nu, eye wófo nu kpli wo holótoe gblo pena
2CH	11	2	Mais la parole de l’Éternel fut ainsi adressée à Schemaeja, homme de Dieu:	Tete Yehowa fe gbe va Mawu fe ame Semaya gbo bena
2CH	25	19	Tu as battu les Édomites, penses-tu, et ton cœur s’élève pour te glorifier. Reste maintenant chez toi. Pourquoi t’engager dans une malheureuse entreprise, qui amènerait ta ruine et celle de Juda?	Ele bubum be: kpo da, mesi Edomtowo; eyata dzi do fowo, néle dokuiwó dom de dzi. Tsi afe, nu- kanuti ngebe, yeade dokuiwó dzo- gbevóe me, eye mia kple Yuda sià miatsi?
2CH	7	22	Et l’on répondra: Parce qu’ils ont abandonné l’Éternel, le Dieu de leurs pères, qui les a fait sortir du pays d’Égypte, parce qu’ils se sont attachés à d’autres dieux, se sont prosternés devant eux et les ont servis; voilà pourquoi il a fait venir sur eux tous ces maux.	Eye woa- do nu be: Esi wogble Yehowa, wo fofowo fe Mawu, si kplo wo tso Egipte-nyigba dzi la di, eye woku de mawu bubuwo nu, wode ta agu na wo, eye wosubo wo la, eyata wóhe dzogbevóe siawo kata va wo dzi do
2CH	18	22	Et maintenant, voici, l’Éternel a mis un esprit de mensonge dans la bouche de tes prophètes qui sont là. Et l’Éternel a prononcé du mal contre toi.	Eyata kpo da, Yehowa ye de awatsogbogbo wo nyagblodila sia- wo nu; elabena Yehowa do dzo- gbevõe de nuwó
2CH	36	3	Le roi d’Égypte le destitua à Jérusalem, et frappa le pays d’une contribution de cent talents d’argent et d’un talent d’or.	Eye Egipte-fia dee le zi dzi le Yerusalem, eye wò- tso klosalo talento alafa deka kple sika talento deka he to na duko la, be wóahe. Yoyakim
2CH	35	22	Mais Josias ne se détourna point de lui, et il se déguisa pour l’attaquer, sans écouter les paroles de Néco, qui venaient de la bouche de Dieu. Il s’avança pour combattre dans la vallée de Meguiddo.	Ke Yo- siya metro ko le enu o, ke bon edze avu, be yeawo awa kplii, eye medo to Neho fe nyawo le Mawu fe nya la nu o, eye wóva awa wo ge le Megido-bali la me
2CH	29	35	Il y avait d’ailleurs beaucoup d’holocaustes, avec les graisses des sacrifices d’actions de grâces, et avec les libations des holocaustes. Ainsi fut rétabli le service de la maison de l’Éternel.	Numevosa la so gbo hekpe de akpedavosa fe 4amiwo kple numevosa fe *nu- novosawo nuti. Ale wogado Ye- howa fe afe la me subosubo te dzi
2CH	2	9	Que l’on me prépare du bois en abondance, car la maison que je vais bâtir sera grande et magnifique.	Kpo da, matso lu kor akpe blave kple fo kor akpe blave woa- nye nududu na wó dola, siwo le atiawo lam, hekpe de wein bat akpe blave kple ami bat akpe blave nu
2CH	7	13	Quand je fermerai le ciel et qu’il n’y aura point de pluie, quand j’ordonnerai aux sauterelles de consumer le pays, quand j’enverrai la peste parmi mon peuple;	Ne mehe dzifo nu, eye tsi megale dzadzam o, ne me- do wetsuviwo da, be woadu anyi- gba la, ne medo dovó de nye duko la dome, 14 eye nye duko, si nu woyo nye nko do la, bobo edo- kui, wodo gbe da, eye wodi nye üku me, eye wode asi le wofe mo ybwo nu la, ekema masee le dzifo, eye matso wofe nuvówo ake wo, eye mayo do wofe anyigba la
2CH	33	22	Il fit ce qui est mal aux yeux de l’Éternel, comme avait fait Manassé, son père; il sacrifia à toutes les images taillées qu’avait faites Manassé, son père, et il les servit;	Ewo nusi nye yb le Yehowa hku me, abe alesi fofoa Manase wo ene, eye Amon sa vo na legba, siwo kata fofoa Manase wo, eye wósubo wo
2CH	16	2	Asa sortit de l’argent et de l’or des trésors de la maison de l’Éternel et de la maison du roi, et il envoya des messagers vers Ben-Hadad, roi de Syrie, qui habitait à Damas.	Tete Asa tso klosalo kple sika le Yehowa fe afe kple fia fe afe fe nudzradofe do de Aram-fia Ben- Hadad, amesi le Damasko bena
2CH	7	11	Lorsque Salomon eut achevé la maison de l’Éternel et la maison du roi, et qu’il eut réussi dans tout ce qu’il s’était proposé de faire dans la maison de l’Éternel et dans la maison du roi,	/Esi Salomo wu Yehowa fe ho kple fia fe ho nu vo la, nu- sianu, si Salomo do de tame le Yehowa fe afe kple eya nuto fe afe nu la, ewoe dedie 12 Ye- howa de edokui fia Salomo le zà me gblo ne bena: Mese wó gbe- dododa, eye metia tefe sia wo nye vosafe
